Prompt,Coherence,Relevance,Fluency,Informativeness,Creativity,Average
Prompt 1,2,1.0,2,1,2,1.6
Prompt 2,2,1.0,2,1,2,1.6
Prompt 3,1,1.0,1,1,1,1.0
Prompt 4,2,2.0,2,1,2,1.8
Prompt 5,2,2.0,2,1,2,1.8
Prompt 6,1,1.0,1,1,1,1.0
Prompt 7,2,2.0,2,1,2,1.8
Prompt 8,2,1.0,2,1,2,1.6
Prompt 9,2,1.0,2,1,2,1.6
Prompt 10,2,2.0,2,1,2,1.8
Prompt 11,2,1.0,2,1,2,1.6
Prompt 12,3,2.0,3,2,3,2.6
Prompt 13,2,1.0,2,1,2,1.6
Prompt 14,2,1.0,2,1,2,1.6
Prompt 15,2,1.0,2,1,2,1.6
Prompt 16,2,1.0,2,1,2,1.6
Prompt 17,2,1.0,2,1,2,1.6
Prompt 18,2,1.0,2,1,2,1.6
Prompt 19,2,1.0,2,1,2,1.6
Prompt 20,2,1.0,2,1,2,1.6
平均分,2,1.3,2,1,2,1.66
