Prompt,Coherence,Relevance,Fluency,Informativeness,Creativity,Average
Prompt 1,2.0,1.0,2.0,1,2.0,1.6
Prompt 2,1.0,1.0,1.0,1,1.0,1.0
Prompt 3,1.0,1.0,1.0,1,1.0,1.0
Prompt 4,2.0,2.0,2.0,1,2.0,1.8
Prompt 5,2.0,2.0,2.0,1,2.0,1.8
Prompt 6,2.0,1.0,2.0,1,1.0,1.4
Prompt 7,2.0,1.0,2.0,1,1.0,1.4
Prompt 8,1.0,1.0,1.0,1,1.0,1.0
Prompt 9,2.0,1.0,2.0,1,1.0,1.4
Prompt 10,2.0,1.0,2.0,1,1.0,1.4
Prompt 11,2.0,1.0,2.0,1,1.0,1.4
Prompt 12,1.0,1.0,1.0,1,1.0,1.0
Prompt 13,1.0,1.0,1.0,1,1.0,1.0
Prompt 14,1.0,1.0,1.0,1,1.0,1.0
Prompt 15,2.0,1.0,2.0,1,1.0,1.4
Prompt 16,1.0,1.0,1.0,1,1.0,1.0
Prompt 17,2.0,1.0,2.0,1,1.0,1.4
Prompt 18,1.0,1.0,1.0,1,1.0,1.0
Prompt 19,1.0,1.0,1.0,1,1.0,1.0
Prompt 20,1.0,1.0,1.0,1,1.0,1.0
平均分,1.5,1.1,1.5,1,1.1,1.24
