Prompt,Coherence,Relevance,Fluency,Informativeness,Creativity,Average
Prompt 1,2.0,2,2.0,1.0,2.0,1.8
Prompt 2,2.0,2,2.0,1.0,2.0,1.8
Prompt 3,2.0,2,2.0,1.0,2.0,1.8
Prompt 4,3.0,2,3.0,2.0,3.0,2.6
Prompt 5,3.0,2,2.0,2.0,3.0,2.4
Prompt 6,2.0,2,2.0,2.0,2.0,2.0
Prompt 7,3.0,2,3.0,2.0,2.0,2.4
Prompt 8,2.0,2,2.0,2.0,2.0,2.0
Prompt 9,2.0,2,2.0,1.0,1.0,1.6
Prompt 10,2.0,2,2.0,1.0,1.0,1.6
Prompt 11,2.0,2,2.0,1.0,2.0,1.8
Prompt 12,3.0,2,3.0,2.0,2.0,2.4
Prompt 13,2.0,2,2.0,2.0,2.0,2.0
Prompt 14,2.0,2,2.0,2.0,2.0,2.0
Prompt 15,3.0,2,3.0,2.0,2.0,2.4
Prompt 16,2.0,2,2.0,2.0,2.0,2.0
Prompt 17,3.0,2,3.0,2.0,2.0,2.4
Prompt 18,2.0,2,2.0,2.0,2.0,2.0
Prompt 19,2.0,2,2.0,1.0,2.0,1.8
Prompt 20,2.0,2,2.0,1.0,2.0,1.8
平均分,2.35,2,2.3,1.55,2.05,2.05
