Prompt,Coherence,Relevance,Fluency,Informativeness,Creativity,Average
Prompt 1,1,1,1,1,2.0,1.2
Prompt 2,1,1,1,1,2.0,1.2
Prompt 3,1,1,1,1,1.0,1.0
Prompt 4,1,1,1,1,2.0,1.2
Prompt 5,1,1,1,1,1.0,1.0
Prompt 6,1,1,1,1,1.0,1.0
Prompt 7,1,1,1,1,2.0,1.2
Prompt 8,1,1,1,1,1.0,1.0
Prompt 9,1,1,1,1,1.0,1.0
Prompt 10,1,1,1,1,2.0,1.2
Prompt 11,1,1,1,1,2.0,1.2
Prompt 12,1,1,1,1,1.0,1.0
Prompt 13,1,1,1,1,1.0,1.0
Prompt 14,1,1,1,1,2.0,1.2
Prompt 15,1,1,1,1,1.0,1.0
Prompt 16,1,1,1,1,2.0,1.2
Prompt 17,1,1,1,1,1.0,1.0
Prompt 18,1,1,1,1,1.0,1.0
Prompt 19,1,1,1,1,1.0,1.0
Prompt 20,1,1,1,1,1.0,1.0
Average,1,1,1,1,1.25,1.05
