Prompt,Coherence,Relevance,Fluency,Informativeness,Creativity,Average
Prompt 1,1,1,1,1,1,1
Prompt 2,1,1,1,1,1,1
Prompt 3,1,1,1,1,1,1
Prompt 4,1,1,1,1,1,1
Prompt 5,1,1,1,1,1,1
Prompt 6,1,1,1,1,1,1
Prompt 7,1,1,1,1,1,1
Prompt 8,1,1,1,1,1,1
Prompt 9,1,1,1,1,1,1
Prompt 10,1,1,1,1,1,1
Prompt 11,1,1,1,1,1,1
Prompt 12,1,1,1,1,1,1
Prompt 13,1,1,1,1,1,1
Prompt 14,1,1,1,1,1,1
Prompt 15,1,1,1,1,1,1
Prompt 16,1,1,1,1,1,1
Prompt 17,1,1,1,1,1,1
Prompt 18,1,1,1,1,1,1
Prompt 19,1,1,1,1,1,1
Prompt 20,1,1,1,1,1,1
Average,1,1,1,1,1,1
